RespondentID,Lot_A_or_B,Do_you_ever_smoke_cigarettes_,Do_you_ever_drink_alcohol_,Do_you_ever_gamble_,Have_you_ever_been_skydiving_,Do_you_ever_drive_above_the_speed_limit_,Have_you_ever_cheated_on_your_significant_other_,Do_you_eat_steak_,How_do_you_like_your_steak_prepared_,Gender,Age,Household_Income,Education,Location__Census_Region_
3234982343.0,Lottery A,No,Yes,No,No,No,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234973379.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Rare,Male,> 60,"$150,000+",Graduate degree,South Atlantic
3234972383.0,Lottery B,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England
3234958833.0,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234955240.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium rare,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
3234955010.0,Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Medium rare,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central
3234953052.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3234951249.0,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium rare,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234948883.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",High school degree,South Atlantic
3234948197.0,Lottery A,No,No,Yes,No,Yes,No,Yes,Medium rare,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3234947477.0,Lottery B,No,Yes,Yes,Yes,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3234946739.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Rare,Male,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3234945250.0,Lottery B,No,Yes,No,Yes,Yes,No,Yes,Medium Well,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234944270.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium Well,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234941615.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234939289.0,Lottery A,No,Yes,Yes,No,No,No,Yes,Medium rare,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central
3234937720.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234937709.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,18-29,"$25,000 - $49,999",Bachelor degree,West North Central
3234936804.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3234936220.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$0 - $24,999",Some college or Associate degree,East North Central
3234935763.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,18-29,"$50,000 - $99,999",High school degree,West North Central
3234935254.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Male,45-60,"$25,000 - $49,999",Bachelor degree,West South Central
3234932801.0,Lottery B,Yes,Yes,Yes,No,No,No,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234931630.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,> 60,"$25,000 - $49,999",Graduate degree,East North Central
3234930461.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Male,18-29,"$0 - $24,999",Graduate degree,South Atlantic
3234929351.0,Lottery B,Yes,Yes,No,No,Yes,No,Yes,Medium,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central
3234928702.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234927960.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Well,Male,18-29,"$25,000 - $49,999",High school degree,West South Central
3234924769.0,Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234924090.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3234923656.0,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
3234922597.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$0 - $24,999",High school degree,West South Central
